,Movie Name,Movie Rating,Year,Run TIme,Certificate
222,223. The Exorcist,8.1 (69K),1973,2h 2m,Approved
223,224. The Best Years of Our Lives,8.1 (430K),1946,2h 50m,U
224,225. Stand by Me,8.1 (189K),1986,1h 29m,Not Rated
225,226. La haine,8.1 (419K),1995,1h 38m,U
226,227. The Wizard of Oz,8.1 (1.2M),1939,1h 42m,UA
227,228. Pirates of the Caribbean: The Curse of the Black Pearl,8.0 (785K),2003,2h 23m,U
228,229. The Incredibles,8.1 (646K),2004,1h 55m,U
229,230. Into the Wild,8.2 (90K),2007,2h 28m,Not Rated
230,231. Babam Ve Oglum,8.2 (41K),2005,1h 52m,Passed
231,232. To Be or Not to Be,8.1 (303K),1942,1h 39m,U
232,233. Hachi: A Dog's Tale,8.1 (165K),2009,1h 33m,A
233,234. Ah-ga-ssi,8.1 (98K),2016,2h 25m,Passed
234,235. The Grapes of Wrath,8.1 (64K),1940,2h 9m,Not Rated
235,236. La battaglia di Algeri,8.0 (667K),1966,2h 1m,U
236,237. Groundhog Day,8.1 (250K),1993,1h 41m,A
237,238. Amores perros,8.1 (251K),2000,2h 34m,U
238,239. The Sound of Music,8.1 (144K),1965,2h 52m,Approved
239,240. Rebecca,8.1 (185K),1940,2h 10m,A
240,241. Cool Hand Luke,8.2 (37K),1967,2h 7m,U
241,242. Pather Panchali,8.1 (218K),1955,2h 5m,U
242,243. The Iron Giant,8.1 (110K),1999,1h 26m,Passed
243,244. It Happened One Night,8.1 (482K),1934,1h 45m,UA
244,245. The Help,8.1 (125K),2011,2h 26m,U
245,246. The 400 Blows,8.1 (128K),1959,1h 39m,Not Rated
246,247. Persona,8.0 (417K),1966,1h 25m,R
247,248. Life of Brian,8.0 (453K),1979,1h 34m,U
248,249. Aladdin,8.2 (92K),1992,1h 30m,UA
